epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3924.38,1.13149,0.75696,1.15138,0.91612,0.9102,0.9525,0.66038,1.12576,0.61968,1.13519,0.0004358,0.0004358,0.0004358
81,3973.59,1.12172,0.74337,1.15272,0.91471,0.89369,0.94605,0.66218,1.1185,0.60679,1.13348,0.000416,0.000416,0.000416
82,4021.51,1.1232,0.74408,1.15112,0.92996,0.90432,0.95382,0.65854,1.11719,0.61523,1.13114,0.0003962,0.0003962,0.0003962
83,4070.01,1.1154,0.72873,1.13491,0.9294,0.89382,0.9492,0.66657,1.0998,0.59669,1.12072,0.0003764,0.0003764,0.0003764
84,4119.5,1.11385,0.74711,1.13929,0.89662,0.91975,0.95787,0.66894,1.10319,0.6032,1.11626,0.0003566,0.0003566,0.0003566
85,4168.22,1.11458,0.72071,1.13292,0.92356,0.91975,0.95482,0.66611,1.09578,0.60325,1.10841,0.0003368,0.0003368,0.0003368
86,4217.14,1.09957,0.73418,1.13607,0.91217,0.92962,0.95955,0.67191,1.10069,0.60156,1.11919,0.000317,0.000317,0.000317
87,4266.04,1.08727,0.7146,1.12366,0.91238,0.932,0.95689,0.67752,1.09089,0.60282,1.11956,0.0002972,0.0002972,0.0002972
88,4314.19,1.08734,0.72393,1.12869,0.91901,0.91061,0.95484,0.67275,1.07355,0.60249,1.10893,0.0002774,0.0002774,0.0002774
89,4362.88,1.07591,0.69958,1.11928,0.92648,0.92901,0.95574,0.67591,1.0793,0.60008,1.11513,0.0002576,0.0002576,0.0002576
90,4412.7,1.08729,0.70675,1.12418,0.93323,0.90588,0.95032,0.66619,1.10538,0.60067,1.12106,0.0002378,0.0002378,0.0002378
91,4462.74,1.01678,0.60538,1.0921,0.93825,0.89101,0.95337,0.66218,1.10016,0.60758,1.11471,0.000218,0.000218,0.000218
92,4510.56,1.00767,0.59407,1.09505,0.90989,0.90382,0.95184,0.66681,1.09826,0.60002,1.11133,0.0001982,0.0001982,0.0001982
93,4558.17,0.99368,0.59074,1.09848,0.91252,0.90145,0.95304,0.67195,1.07634,0.60054,1.11116,0.0001784,0.0001784,0.0001784
94,4606.45,1.00314,0.58341,1.09579,0.93847,0.89437,0.95737,0.67488,1.09402,0.59637,1.10253,0.0001586,0.0001586,0.0001586
95,4653.33,0.98549,0.58036,1.08317,0.90379,0.92776,0.95817,0.67555,1.07046,0.588,1.09669,0.0001388,0.0001388,0.0001388
96,4701.36,0.97069,0.568,1.0787,0.917,0.92066,0.95713,0.68319,1.05097,0.58225,1.09481,0.000119,0.000119,0.000119
97,4749.79,0.96472,0.56413,1.0784,0.94911,0.88272,0.95271,0.68235,1.06314,0.58668,1.09651,9.92e-05,9.92e-05,9.92e-05
98,4796.15,0.9636,0.56394,1.08126,0.92534,0.91813,0.9533,0.6799,1.05659,0.57977,1.09592,7.94e-05,7.94e-05,7.94e-05
99,4845.21,0.95545,0.56561,1.07674,0.91671,0.91975,0.95705,0.67842,1.04948,0.58039,1.09234,5.96e-05,5.96e-05,5.96e-05
100,4892.65,0.9528,0.55547,1.07631,0.92786,0.91302,0.95631,0.68362,1.04712,0.58139,1.08954,3.98e-05,3.98e-05,3.98e-05
